user_id,experiment_id,group_name,assign_time,strategy_name
100001,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100002,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100003,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100004,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100005,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100006,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100007,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100008,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100009,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100010,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100011,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100012,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100013,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100014,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100015,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100016,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100017,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100018,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100019,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100020,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100021,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100022,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100023,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100024,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100025,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100026,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100027,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100028,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100029,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100030,checkout_opt_202605,control,2026-05-01 00:00:00,原始结算流程
100031,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
100032,checkout_opt_202605,treatment,2026-05-01 00:00:00,领券提醒+结算页简化
