event_id,user_id,session_id,event_time,event_name,product_id,channel,device
1,100001,S100001_1,2026-05-21 15:26:43,visit_home,2003,自然流量,Android
2,100001,S100001_1,2026-05-21 15:27:23,view_product,2003,自然流量,Android
3,100001,S100001_2,2026-05-25 19:29:46,visit_home,2043,自然流量,Android
4,100002,S100002_1,2026-05-29 13:00:00,visit_home,2049,搜索广告,Android
5,100002,S100002_1,2026-05-29 13:04:45,view_product,2049,搜索广告,Android
6,100002,S100002_2,2026-05-22 21:27:43,visit_home,2033,搜索广告,Android
7,100002,S100002_3,2026-05-02 19:08:44,visit_home,2031,搜索广告,Android
8,100002,S100002_3,2026-05-02 19:09:59,view_product,2031,搜索广告,Android
9,100002,S100002_3,2026-05-02 19:12:26,add_cart,2031,搜索广告,Android
10,100003,S100003_1,2026-05-19 22:09:29,visit_home,2042,站内推荐,iOS
11,100003,S100003_1,2026-05-19 22:11:32,view_product,2042,站内推荐,iOS
12,100003,S100003_1,2026-05-19 22:18:31,add_cart,2042,站内推荐,iOS
13,100003,S100003_1,2026-05-19 22:25:17,submit_order,2042,站内推荐,iOS
14,100003,S100003_2,2026-05-31 10:06:01,visit_home,2015,站内推荐,iOS
15,100003,S100003_3,2026-05-17 06:24:47,visit_home,2002,站内推荐,iOS
16,100003,S100003_4,2026-05-01 17:09:12,visit_home,2028,站内推荐,iOS
17,100003,S100003_4,2026-05-01 17:16:17,view_product,2028,站内推荐,iOS
18,100004,S100004_1,2026-05-16 04:17:45,visit_home,2032,社群裂变,Android
19,100004,S100004_1,2026-05-16 04:25:18,view_product,2032,社群裂变,Android
20,100005,S100005_1,2026-05-07 13:47:47,visit_home,2029,自然流量,Android
21,100005,S100005_2,2026-05-03 00:00:18,visit_home,2049,自然流量,Android
22,100005,S100005_2,2026-05-03 00:03:12,view_product,2049,自然流量,Android
23,100006,S100006_1,2026-05-01 18:32:56,visit_home,2050,自然流量,Android
24,100006,S100006_1,2026-05-01 18:39:19,view_product,2050,自然流量,Android
25,100006,S100006_1,2026-05-01 18:42:47,add_cart,2050,自然流量,Android
26,100007,S100007_1,2026-05-20 06:01:19,visit_home,2016,站内推荐,PC
27,100007,S100007_1,2026-05-20 06:01:55,view_product,2016,站内推荐,PC
28,100007,S100007_1,2026-05-20 06:12:29,add_cart,2016,站内推荐,PC
29,100007,S100007_1,2026-05-20 06:16:38,submit_order,2016,站内推荐,PC
30,100007,S100007_1,2026-05-20 06:18:51,pay_success,2016,站内推荐,PC
31,100008,S100008_1,2026-05-30 10:49:01,visit_home,2014,站内推荐,Android
32,100008,S100008_1,2026-05-30 10:55:02,view_product,2014,站内推荐,Android
33,100009,S100009_1,2026-05-19 23:48:23,visit_home,2035,搜索广告,Android
34,100009,S100009_1,2026-05-19 23:54:49,view_product,2035,搜索广告,Android
35,100009,S100009_1,2026-05-20 00:06:58,add_cart,2035,搜索广告,Android
36,100009,S100009_1,2026-05-20 00:10:41,submit_order,2035,搜索广告,Android
37,100009,S100009_2,2026-05-05 16:54:59,visit_home,2014,搜索广告,Android
38,100009,S100009_2,2026-05-05 17:04:34,view_product,2014,搜索广告,Android
39,100010,S100010_1,2026-05-17 16:06:49,visit_home,2021,搜索广告,Android
40,100010,S100010_1,2026-05-17 16:10:53,view_product,2021,搜索广告,Android
41,100010,S100010_2,2026-05-19 09:22:03,visit_home,2037,搜索广告,Android
42,100010,S100010_3,2026-05-19 20:27:21,visit_home,2031,搜索广告,Android
43,100010,S100010_3,2026-05-19 20:27:58,view_product,2031,搜索广告,Android
44,100011,S100011_1,2026-05-05 03:00:09,visit_home,2034,信息流广告,Android
45,100011,S100011_1,2026-05-05 03:02:04,view_product,2034,信息流广告,Android
46,100011,S100011_2,2026-05-29 01:23:33,visit_home,2011,信息流广告,Android
47,100011,S100011_3,2026-05-20 09:10:31,visit_home,2033,信息流广告,Android
48,100011,S100011_3,2026-05-20 09:11:49,view_product,2033,信息流广告,Android
49,100012,S100012_1,2026-05-31 16:22:43,visit_home,2002,信息流广告,Android
50,100013,S100013_1,2026-05-14 16:42:29,visit_home,2034,自然流量,iOS
51,100013,S100013_1,2026-05-14 16:52:02,view_product,2034,自然流量,iOS
52,100013,S100013_2,2026-05-01 17:30:05,visit_home,2030,自然流量,iOS
53,100013,S100013_2,2026-05-01 17:35:37,view_product,2030,自然流量,iOS
54,100013,S100013_2,2026-05-01 17:46:31,add_cart,2030,自然流量,iOS
55,100013,S100013_2,2026-05-01 17:54:02,submit_order,2030,自然流量,iOS
56,100013,S100013_2,2026-05-01 17:56:34,pay_success,2030,自然流量,iOS
57,100014,S100014_1,2026-05-07 01:21:18,visit_home,2011,自然流量,Android
58,100014,S100014_1,2026-05-07 01:25:25,view_product,2011,自然流量,Android
