user_id,register_date,channel,device,city_tier,user_type
100001,2026-04-06,自然流量,Android,二线,新用户
100002,2026-05-18,搜索广告,Android,一线,老用户
100003,2026-05-10,站内推荐,iOS,新一线,新用户
100004,2026-04-27,社群裂变,Android,三线及以下,新用户
100005,2026-04-27,自然流量,Android,二线,新用户
100006,2026-05-23,自然流量,Android,一线,老用户
100007,2026-04-06,站内推荐,PC,二线,老用户
100008,2026-05-13,站内推荐,Android,二线,新用户
100009,2026-04-13,搜索广告,Android,三线及以下,老用户
100010,2026-04-06,搜索广告,Android,二线,新用户
100011,2026-05-03,信息流广告,Android,一线,老用户
100012,2026-05-30,信息流广告,Android,一线,新用户
100013,2026-05-15,自然流量,iOS,新一线,新用户
100014,2026-05-17,自然流量,Android,二线,新用户
100015,2026-05-14,自然流量,Android,二线,新用户
100016,2026-05-18,社群裂变,Android,二线,新用户
100017,2026-05-02,自然流量,PC,二线,新用户
100018,2026-04-08,自然流量,Android,新一线,新用户
100019,2026-05-22,搜索广告,iOS,一线,新用户
100020,2026-04-28,自然流量,iOS,一线,老用户
100021,2026-05-01,自然流量,iOS,新一线,新用户
100022,2026-04-23,搜索广告,iOS,二线,新用户
100023,2026-04-12,信息流广告,Android,三线及以下,老用户
100024,2026-05-27,搜索广告,iOS,新一线,新用户
100025,2026-05-18,站内推荐,iOS,二线,老用户
100026,2026-05-10,自然流量,iOS,一线,新用户
100027,2026-04-25,站内推荐,Android,二线,老用户
100028,2026-05-21,站内推荐,Android,一线,老用户
100029,2026-05-04,社群裂变,Android,二线,新用户
100030,2026-04-28,搜索广告,iOS,一线,新用户
100031,2026-04-28,搜索广告,iOS,一线,老用户
100032,2026-04-14,搜索广告,iOS,二线,老用户
100033,2026-04-06,搜索广告,Android,新一线,新用户
100034,2026-05-04,自然流量,iOS,新一线,新用户
100035,2026-05-25,站内推荐,iOS,新一线,新用户
100036,2026-04-04,搜索广告,PC,三线及以下,老用户
100037,2026-05-23,社群裂变,Android,新一线,老用户
100038,2026-05-21,信息流广告,Android,二线,新用户
100039,2026-04-17,自然流量,iOS,三线及以下,新用户
100040,2026-05-09,信息流广告,iOS,二线,老用户
100041,2026-04-11,信息流广告,PC,新一线,老用户
100042,2026-05-17,信息流广告,Android,二线,新用户
100043,2026-05-13,信息流广告,Android,一线,新用户
100044,2026-04-22,自然流量,PC,二线,新用户
100045,2026-04-05,搜索广告,Android,新一线,老用户
100046,2026-05-30,信息流广告,iOS,二线,新用户
100047,2026-04-28,站内推荐,Android,三线及以下,新用户
100048,2026-05-25,自然流量,iOS,一线,老用户
100049,2026-05-12,信息流广告,iOS,一线,新用户
100050,2026-05-18,自然流量,iOS,新一线,新用户
100051,2026-05-17,搜索广告,PC,二线,新用户
100052,2026-04-12,信息流广告,Android,新一线,新用户
100053,2026-04-23,搜索广告,iOS,二线,新用户
100054,2026-04-29,站内推荐,iOS,二线,新用户
100055,2026-05-01,自然流量,Android,三线及以下,新用户
100056,2026-04-03,搜索广告,PC,新一线,新用户
100057,2026-05-04,自然流量,iOS,一线,老用户
100058,2026-04-10,自然流量,iOS,新一线,老用户
100059,2026-05-16,信息流广告,Android,二线,新用户
100060,2026-05-12,自然流量,PC,新一线,老用户
100061,2026-05-27,搜索广告,PC,新一线,新用户
100062,2026-05-16,搜索广告,iOS,新一线,老用户
100063,2026-04-23,社群裂变,iOS,二线,老用户
100064,2026-05-30,信息流广告,Android,三线及以下,新用户
100065,2026-04-26,搜索广告,iOS,新一线,新用户
100066,2026-04-20,信息流广告,PC,一线,新用户
100067,2026-05-26,自然流量,iOS,新一线,新用户
100068,2026-04-23,自然流量,Android,新一线,新用户
100069,2026-04-05,搜索广告,PC,三线及以下,新用户
100070,2026-04-29,站内推荐,PC,新一线,老用户
100071,2026-05-19,自然流量,Android,二线,新用户
